2026-03-20 22:18:19 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=10,104,780  NetRevenue=9,868,036
2026-03-20 22:18:19 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=10,104,780  NetRevenue=9,868,036
2026-03-20 22:18:19 | INFO     | analysis.profitability | Profitability: NetProfit=303,179  GPM=12.73%
2026-03-20 22:18:19 | INFO     | analysis.inventory | Inventory: turnover=0.96x  DIO=379.5d
2026-03-20 22:18:19 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=10,104,780  NetRevenue=9,868,036
2026-03-20 22:18:19 | INFO     | analysis.discounts | Discounts: 2.34% of gross revenue
2026-03-20 22:18:19 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=10,104,780  NetRevenue=9,868,036
2026-03-20 22:18:19 | INFO     | analysis.expenses | Expenses: OpEx%=9.66
2026-03-20 22:18:19 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=10,104,780  NetRevenue=9,868,036
2026-03-20 22:18:19 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=10,104,780  NetRevenue=9,868,036
2026-03-20 22:18:19 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=10,104,780  NetRevenue=9,868,036
2026-03-20 22:18:19 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=10,104,780  NetRevenue=9,868,036
2026-03-20 22:18:19 | INFO     | analysis.products | Product metrics computed.
2026-03-20 22:18:19 | INFO     | analysis.breakeven | Break-even: BEU=364  MoS=89.79%
2026-03-20 22:18:19 | INFO     | analysis.cashflow | Quarterly cashflow: NetCashMovement=-39,537
2026-03-20 22:18:19 | INFO     | analysis.monthly_growth | Quarterly growth computed.
2026-03-20 22:18:22 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=12,087,770  NetRevenue=11,810,056
2026-03-20 22:18:22 | INFO     | analysis.profitability | Profitability: NetProfit=3,154,439  GPM=34.92%
2026-03-20 22:18:22 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=12,087,770  NetRevenue=11,810,056
2026-03-20 22:18:22 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=12,087,770  NetRevenue=11,810,056
2026-03-20 22:18:22 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=12,087,770  NetRevenue=11,810,056
2026-03-20 22:18:22 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=12,087,770  NetRevenue=11,810,056
2026-03-20 22:18:22 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=12,087,770  NetRevenue=11,810,056
2026-03-20 22:18:22 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=12,087,770  NetRevenue=11,810,056
2026-03-20 22:18:22 | INFO     | analysis.discounts | Discounts: 2.30% of gross revenue
2026-03-20 22:18:22 | INFO     | analysis.breakeven | Break-even: BEU=316  MoS=93.31%
2026-03-20 22:18:22 | INFO     | analysis.expenses | Expenses: OpEx%=8.21
2026-03-20 22:18:22 | INFO     | analysis.inventory | Inventory: turnover=0.79x  DIO=460.6d
2026-03-20 22:18:22 | INFO     | pipeline.stage_03_transform | Transform done. GrossRevenue=12,087,770  NetRevenue=11,810,056
2026-03-20 22:18:22 | INFO     | analysis.products | Product metrics computed.
